City_ID,City,Cloudiness(%),Country,Date,Humidity(%),Latitude,Longitude,Max Temp(F),Wind Speed(mph)
117,methoni,65,GR,1613174540,87,36.82,21.7,54.0,4.61
118,morant bay,75,JM,1613174316,69,17.88,-76.41,80.6,21.85
119,madera,66,US,1613174568,74,37.17,-119.83,54.0,3.0
120,camocim,99,BR,1613174568,82,-2.9,-40.84,79.65,12.73
121,shihezi,95,CN,1613174568,96,44.3,86.03,11.52,0.51
122,riyadh,0,SA,1613174332,41,24.69,46.72,59.0,3.2
123,sao filipe,6,CV,1613174547,62,14.9,-24.5,72.99,14.99
124,sitka,20,US,1613174482,26,57.05,-135.33,39.2,11.5
125,vardo,75,NO,1613174567,78,70.37,31.11,8.6,14.97
126,bengkulu,96,ID,1613174569,81,-3.8,102.27,78.01,4.14
127,diamantino,97,BR,1613173930,87,-14.41,-56.45,72.79,5.03
128,tefe,20,BR,1613174506,79,-3.35,-64.71,84.2,3.44
129,darlowo,97,PL,1613174570,72,54.42,16.41,30.0,14.16
130,arman,100,RU,1613174283,87,59.7,150.17,11.46,2.48
131,kruisfontein,97,ZA,1613173972,88,-34.0,24.73,75.0,1.01
132,chokurdakh,12,RU,1613174554,71,70.63,147.92,-22.9,3.38
133,butler,90,US,1613174469,68,39.45,-84.57,27.0,5.75
134,bonavista,100,CA,1613174102,93,48.65,-53.11,30.99,9.22
135,sao joao da barra,100,BR,1613174043,82,-21.64,-41.05,77.68,15.37
136,bluff,83,NZ,1613174472,60,-46.6,168.33,66.99,7.0
137,marsaxlokk,20,MT,1613174572,88,35.84,14.54,57.99,6.91
138,carnarvon,54,AU,1613174528,100,-24.87,113.63,78.8,6.91
139,susner,0,IN,1613174572,31,23.95,76.08,60.75,3.62
140,jamestown,1,US,1613174487,67,42.1,-79.24,19.0,8.05
141,klaksvik,90,FO,1613174562,65,62.23,-6.59,37.4,21.85
142,peterborough,90,GB,1613174503,64,52.57,-0.25,28.99,17.27
143,gori,16,GE,1613174425,74,41.98,44.12,45.25,12.73
144,rio gallegos,0,AR,1613174299,24,-51.62,-69.22,66.2,17.27
145,portland,90,US,1613174104,74,45.52,-122.68,27.0,20.71
146,mar del plata,90,AR,1613174499,94,-38.0,-57.56,69.8,13.8
147,port moresby,40,PG,1613174533,70,-9.44,147.18,86.0,11.5
148,parichhatgarh,59,IN,1613174574,50,28.98,77.93,55.27,3.51
149,clyde river,75,CA,1613174194,85,70.47,-68.59,-0.4,19.57
150,pemangkat,100,ID,1613174273,89,1.17,108.97,77.49,9.89
151,maloh,38,PH,1613174575,74,9.06,122.99,81.25,1.9
152,new norfolk,39,AU,1613174504,51,-42.78,147.06,68.0,1.99
153,moron,75,AR,1613174395,73,-34.65,-58.62,75.99,11.5
154,taltal,17,CL,1613174203,71,-25.4,-70.48,66.85,3.42
155,kavaratti,81,IN,1613173979,63,10.57,72.64,80.69,7.63
156,longyearbyen,90,SJ,1613174576,85,78.22,15.64,8.6,6.91
157,izazi,100,TZ,1613174005,91,-7.2,35.73,68.11,1.92
158,san cristobal,56,VE,1613174146,70,7.77,-72.22,69.55,0.34
159,norman wells,20,CA,1613174560,71,65.28,-126.83,-2.2,5.75
160,leningradskiy,98,RU,1613173989,83,69.38,178.42,-18.8,7.72
161,lipin bor,100,RU,1613174577,90,60.26,37.98,-8.27,7.49
162,tarko-sale,100,RU,1613173884,83,64.92,77.78,-29.43,0.43
163,saskylakh,31,RU,1613174509,82,71.92,114.08,-28.55,1.95
164,barra patuca,10,HN,1613174578,77,15.8,-84.28,78.24,15.28
165,trincomalee,18,LK,1613174578,85,8.57,81.23,77.32,10.76
166,sioux lookout,75,CA,1613174254,49,50.1,-91.92,-11.2,3.44
167,chiang rai,70,TH,1613174561,100,19.92,99.92,66.0,1.72
168,adrar,0,MR,1613174069,20,20.5,-10.07,65.71,11.32
169,berbera,72,SO,1613174153,70,10.44,45.01,73.72,6.2
170,urucui,97,BR,1613174579,87,-7.23,-44.56,77.18,4.27
171,namtsy,0,RU,1613174339,78,62.72,129.67,-2.2,4.47
172,dingle,70,PH,1613174179,84,11.0,122.67,79.21,4.09
173,camopi,96,GF,1613174580,98,3.17,-52.32,73.06,3.09
174,harnosand,30,SE,1613174580,68,62.63,17.94,25.0,13.8
175,hofn,100,IS,1613174265,71,64.25,-15.21,40.82,20.8
176,petropavlovsk-kamchatskiy,75,RU,1613174553,67,53.05,158.65,10.4,11.18
177,cabo san lucas,1,MX,1613174519,60,22.89,-109.91,71.6,11.5
178,hurghada,0,EG,1613174581,36,27.26,33.81,64.4,13.8
179,fort nelson,1,CA,1613174092,61,58.81,-122.7,5.0,2.1
180,governador valadares,91,BR,1613174489,86,-18.85,-41.95,73.74,3.42
181,touros,20,BR,1613174100,78,-5.2,-35.46,80.6,9.22
182,mbanza-ngungu,67,CD,1613174582,100,-5.25,14.87,68.38,3.76
183,ternate,98,ID,1613174517,73,0.8,127.4,83.26,6.24
184,srednekolymsk,0,RU,1613174171,83,67.45,153.68,-25.4,5.97
185,paoua,0,CF,1613174583,23,7.24,16.44,69.44,3.91
186,iqaluit,40,CA,1613174316,71,63.75,-68.51,-4.0,18.41
187,husavik,20,IS,1613174108,64,66.04,-17.34,35.6,12.66
188,bouloupari,0,NC,1613174583,66,-21.87,166.05,86.0,9.22
189,aykhal,93,RU,1613174373,78,66.0,111.5,-22.11,3.09
190,pisco,0,PE,1613174016,65,-13.7,-76.22,77.0,16.11
191,haines junction,0,CA,1613174040,42,60.75,-137.51,1.4,1.07
192,hervey bay,40,AU,1613174208,57,-25.3,152.85,84.0,9.22
193,chapais,90,CA,1613174179,78,49.78,-74.85,-2.2,9.22
194,kaitangata,96,NZ,1613174569,69,-46.28,169.85,64.0,5.01
195,muravlenko,79,RU,1613174585,86,63.79,74.52,-28.68,3.49
196,alyangula,75,AU,1613174585,78,-13.85,136.42,82.4,5.75
197,eureka,100,US,1613174231,96,40.8,-124.16,52.0,4.0
198,blackwater,43,AU,1613174585,49,-23.58,148.88,82.13,8.99
199,hokitika,95,NZ,1613174586,66,-42.72,170.97,60.98,4.56
200,thompson,1,CA,1613174026,63,55.74,-97.86,-16.6,2.3
201,saint-augustin,22,CA,1613174331,92,51.23,-58.65,17.47,12.8
202,sisimiut,76,GL,1613174223,93,66.94,-53.67,12.79,7.29
203,maksatikha,100,RU,1613174587,90,57.8,35.88,2.39,13.8
204,york,90,US,1613174587,43,40.13,-77.0,28.4,4.61
205,upernavik,0,GL,1613174588,80,72.79,-56.15,-1.8,8.21
206,lima,0,PE,1613174321,65,-12.04,-77.03,77.0,9.22
207,antalaha,100,MG,1613174208,89,-14.9,50.28,74.91,4.54
208,mehamn,0,NO,1613174025,85,71.04,27.85,10.4,17.27
209,abha,0,SA,1613174425,58,18.22,42.51,59.0,3.04
210,kikuchi,75,JP,1613174213,76,32.98,130.82,55.4,11.5
211,hovd,4,MN,1613174048,89,48.01,91.64,3.74,0.85
212,kavieng,38,PG,1613174575,75,-2.57,150.8,84.11,9.48
213,young,89,UY,1613174590,81,-32.68,-57.63,71.01,7.18
214,kodinsk,100,RU,1613174166,89,58.69,99.18,-11.18,2.57
215,the valley,40,AI,1613174590,78,18.22,-63.06,77.0,14.97
216,northam,95,GB,1613174100,75,51.03,-4.22,34.0,10.0
217,sinnamary,88,GF,1613174163,87,5.38,-52.95,77.97,14.58
218,balkanabat,0,TM,1613174591,38,39.51,54.37,56.82,13.22
219,north bend,90,US,1613174390,93,43.41,-124.22,51.01,13.8
220,am timan,47,TD,1613174591,20,11.03,20.28,72.91,6.44
221,strezhevoy,0,RU,1613174221,83,60.73,77.59,-20.2,4.47
222,okhotsk,100,RU,1613174536,93,59.38,143.3,14.45,3.78
223,taywarah,0,AF,1613174592,81,33.35,64.42,31.03,2.01
224,anloga,20,GH,1613174319,89,5.79,0.9,82.4,8.05
225,nizwa,0,OM,1613174592,61,22.93,57.53,57.02,0.65
226,saint-joseph,20,RE,1613174469,69,-21.37,55.62,78.8,14.97
227,birao,0,CF,1613174463,21,10.28,22.79,72.52,3.33
228,saint george,1,US,1613174111,31,37.1,-113.58,64.0,4.61
229,topolobampo,20,MX,1613174593,53,25.6,-109.05,73.0,6.91
230,celestun,7,MX,1613174204,78,20.87,-90.4,77.23,15.23
231,bubaque,3,GW,1613174101,62,11.28,-15.83,78.66,12.21
232,marolambo,100,MG,1613174594,93,-20.05,48.12,70.2,0.67
233,quelimane,0,MZ,1613174320,89,-17.88,36.89,80.6,8.05
234,morondava,100,MG,1613174594,87,-20.28,44.28,76.96,16.31
235,la sarre,97,CA,1613174310,89,48.8,-79.2,-10.64,5.55
236,uniontown,93,US,1613174595,61,39.9,-79.72,32.0,1.01
237,faanui,38,PF,1613174595,75,-16.48,-151.75,81.7,12.77
238,victoria,54,HK,1613174496,81,22.29,114.16,64.0,7.43
239,pyapon,93,MM,1613174595,83,16.28,95.68,63.79,5.86
240,lompoc,1,US,1613174549,67,34.64,-120.46,57.2,17.27
241,bathsheba,20,BB,1613174126,65,13.22,-59.52,78.8,17.27
242,belem de sao francisco,1,BR,1613174596,44,-8.75,-38.97,82.58,22.93
243,hualmay,64,PE,1613174088,70,-11.1,-77.61,74.23,9.22
244,nome,90,US,1613174575,74,64.5,-165.41,28.4,21.85
245,hirara,40,JP,1613174220,88,24.8,125.28,69.8,13.8
246,oktyabrskoye,14,RU,1613174102,100,43.06,44.74,33.8,4.47
247,sarwar,0,IN,1613174597,39,26.07,75.0,56.28,4.81
248,pacific grove,40,US,1613174261,76,36.62,-121.92,55.99,12.66
249,chuy,100,UY,1613174542,94,-33.7,-53.46,69.3,9.8
250,shilong,0,CN,1613174598,72,23.11,113.84,66.0,4.47
251,avera,90,US,1613174598,85,33.19,-82.53,44.6,6.91
252,port-gentil,40,GA,1613174039,84,-0.72,8.78,84.2,10.36
253,christchurch,20,NZ,1613173809,68,-43.53,172.63,66.2,19.57
254,neiafu,75,TO,1613174399,78,-18.65,-173.98,82.4,6.91
255,tadine,73,NC,1613174599,65,-21.55,167.88,82.72,3.0
256,nuuk,40,GL,1613173786,79,64.18,-51.72,17.6,12.66
257,lake charles,90,US,1613174600,87,30.21,-93.2,37.4,19.57
258,vila velha,75,BR,1613174185,78,-20.33,-40.29,78.8,8.05
259,havoysund,90,NO,1613174555,74,71.0,24.66,26.6,11.5
260,tilichiki,0,RU,1613174136,84,60.47,166.1,-14.55,14.16
261,gazanjyk,0,TM,1613174122,63,39.24,55.52,49.86,13.89
262,tondano,40,ID,1613174601,100,1.3,124.91,77.0,1.14
